Field Number,Source Name,Status,Detection (Y/N/M),Dirty Image: Brightest Pixel (Jy/beam),Dirty Image: 1sigma noise (Jy/beam),Dirty Image: Peak S/N,Self-calibrated image: Peak pixel,Self-calibrated image: 1sigma rms,Self-calibrated image: Peak S/N,Notes/Comments
1,182513.1-025955,Protostellar,Y,2.58E-03,9.53E-05,27.06,3.23E-03,8.85E-05,36.44,1 bright compact source near center
,182730.2-035032,,N,,,,,,,
2,182754.3-034237,Protostellar,Y,6.49E-03,1.76E-04,36.86,6.62E-03,7.98E-05,82.97,2 bright compact sources near center
,182757.5-034046,,N,,,,,,,
,182758.8-034948,,N,,,,,,,
,182803.8-012214,,N,,,,,,,
3,182809.2-034809,Protostellar,Y,4.85E-02,7.59E-04,63.87,4.98E-02,1.07E-04,464.15,1 bright compact source near center
,182820.5-013857,,N,,,,,,,
,182830.9-034733,,N,,,,,,,
,182832.0-015356,,N,,,,,,,
,182844.0-012954,,N,,,,,,,
,182847.2-012738,,N,,,,,,,
,182857.2-014323,,N,,,,,,,
4,182903.6-013903,Protostellar,Y,1.00E-02,1.97E-04,50.94,1.02E-02,9.48E-05,107.69,1 dim source near center; 1 bright compact source up and to the right of center
5,182905.5-014153,Protostellar,Y,1.81E-02,2.15E-04,84.18,1.88E-02,8.52E-05,220.89,1 bright compact source near center
6,182906.1-034251,Protostellar,Y,1.35E-03,8.79E-05,15.35,3.27E-03,1.75E-04,18.68,1 bright compact source near center-ish; another bright source at 7 o'clock
,182906.5-020557,,N,,,,,,,
7,182907.3-034324,Protostellar,Y,3.71E-03,1.06E-04,34.97,4.17E-03,8.37E-05,49.82,1 bright source near center
8,182908.3-013046,Prestellar,Y,5.18E-03,1.34E-04,38.76,5.53E-03,8.97E-05,61.61,1 bright source near center; another dim compact source directly below center
,182908.3-020528,,N,,,,,,,
,182918.7-034503,,N,,,,,,,
,182920.1-013618,,N,,,,,,,
9,182923.6-013854,Protostellar,Y,6.09E-03,1.09E-04,56.05,6.55E-03,7.34E-05,89.25,1 bright compact source near center
,182926.7-034343,,N,,,,,,,
,182933.8-015055,,N,,,,,,,
10,182938.0-015058,Prestellar,Y,5.98E-03,1.50E-04,39.84,6.14E-03,8.50E-05,72.19,"2 bright sources (1 compact w/ a tail, 1 slightly more ""puffy"") near center; another 2 very dim very small detections in between"
,182941.2-015327,,N,,,,,,,
11,182942.1-015007,Prestellar,Y,8.43E-04,9.08E-05,9.28,5.04E-03,4.78E-04,10.54,long vertical streak down the middle w/ 1 bright compact source and 1 dimmer source the streak; faint detections at far left
